warrant,authority written order guarantee
judicious,sound in judgment; wise
perish,be destroyed decay
derivative,unoriginal; obtained from another source
treacherous,not to be trusted, perfidious"
abhor,to hate; to detest
connote,Suggest or imply in addition to the precise, literal meaning"
constrict,make tight or smaller
succumb,yield, die"
narcissism,Self-love
redeem,get back by payment compensate
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
moribund,in a dying state; near death
hospitable,liking to give hospitality
acclaimed,welcomed with shouts and approval
renovate,restore something to better condition
ossified,turned to bone; hardened like bone; Inflexible
ingest,take in by swallowing
reconcile,settle a quarrel restore peace
console,give comfort or sympathy to
engulf,swallow up
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
sponge,porous rubber for washing live at once expense
equilibrium,state of being balanced
aggravate,make worse; irritate
foolproof,incapable of failure or error
beguile,mislead or delude; cheat; pass time
turbulence,being uncontrollably violent
implosion,collapse; bursting inward
opaqueness,dullness/not allowing light to pass through
alleviate,make (pain) easier to bear
negligent,taking too little care
bewilder,puzzle; confuse
massacre,cruel killing of a large number of people
euphoria,elation state of pleasant excitement
ambidextrous,able to use the left hand or the right equally well
disrobe,undress
rejuvenation,becoming young in nature or appearance
woo,try to win
dexterity,skill (esp. in handling)
suffocate,cause or have difficulty in breathing
fission,splitting or division (esp. of cells)
asterisk,the mark * (e.g.. omitted letters)
moderation,quality of being limited; not extreme
nihilism,total rejection of all religious and moral beliefs
livid,Furiously angry, enraged"
cryptic,secret with a hidden meaning
premature,doing or happening something before the right time
gait,a manner of walking, stepping, or running"
sporadic,happening from time to time
edible,fit to be eaten/not poisonous
implicit,implied though; not plainly expressed
aberration,straying away from what is normal
retrograde,receding
commemorate,keep the memory of
indistinct,not easily heard; seen clearly marked
agile,active; quick-moving
dupe,cheat make a fool of
retrospective,Looking back on past
unscathed,unharmed unhurt
sophisticated,complex; subtle; refined
recitals,a number of performance of music
appease,make quiet or calm
repel,refuse to accept/cause dislike
coagulation,change to a thick and solid state
gullible,easily gulled
sluggard,lazy slow-moving person
misogynist,one who hates women/females
curriculum,course of study
resuscitation,coming back to consciousness
sequence,succession connected line of
acumen,Keen, quick, accurate insight or judgment"
ascend,go or come up
enzyme,catalyst
anguish,severe suffering
luminary,star; light-giving body
permeate,spread into every part of
auxiliary,helping; supporting
conjoin,to join together
knit,draw together; unite firmly
tractable,easily controlled or guided
forgery,counterfeit
philanthropist,one who loves mankind
sadistic,Cruel
salvage,the saving of property from loss
legacy,Bequest or inheritance
solvent,of the power of forming a solution
somersault,rolling backward or forward (not sideways) movement
arrogance,proud; superior manner of behaviour
enigma,something that is puzzling
introvert,one who turns towards himself
heterogeneous,made up of different kinds
cumbersome,burdensome; heavy and awkward to carry
